"","title","price","age","height","source"
"418","Dream horse of a lifetime NOT TO BE MISSED",6500,2,16.2,"Horsequest"
"419","Potential Grassroots Winner!",7950,5,15.2,"Horsequest"
"420","Grand Prix potential",18000,4,16.3,"Horsequest"
"421","FABULOUS ADVANCED PONY SCHOOLMISTRESS NOT TO BE MISSED!!",32000,14,14.5669291338583,"Horsequest"
"422","By DiMaggio",25000,6,17,"Horsequest"
"423","Anyone looking for an eventer?",20000,4,16.2,"Horsequest"
"424","QUALITY WITH SUPER BLOODLINES",22000,7,16,"Horsequest"
"425","4 year old filly - Nelson Van de Helle x Colin Diamond",10000,4,16,"Horsequest"
"426","Sid",7500,10,18,"Horsequest"
"427","Smart Dun gelding",7500,4,15.1,"Horsequest"
"428","Potential Junior Team / Small Tour",35000,8,16.2,"Horsequest"
"429","SUPER YOUNG EVENT PROSPECT",12500,5,16,"Horsequest"
"430","JAKE SUPER SMART ALL ROUND 15HH",7500,5,15,"Horsequest"
"431","BLACK BEAUTY STUNNING CONFIDENCE GIVING ADVANCED SCHOOLMASTER",20000,14,17.2,"Horsequest"
"432","RIHS 2019 M&M Ridden Champion",15000,7,14,"Horsequest"
"433","A little horse I think a LOT of!",10500,7,15.1,"Horsequest"
"434","Quality Small Dressage Mare",18000,6,15.2,"Horsequest"
"435","Missy - Homebred 15.1hh 8 yrs superstar!",7500,8,15.1,"Horsequest"
"436","Westphalian - Bay - Mare - 5 years old - 16.3 - by Escolar x Akribor",22000,5,16.3,"Horsequest"
"437","Beautiful natured schoolmistress",10000,14,15,"Horsequest"
"438","GREYFORD BOY",15000,12,15.2,"Horsequest"
"439","Dressage Prospect",5750,8,15.1,"Horsequest"
"440","Beautiful Gelding by Dante Weltino",25000,7,17.1,"Horsequest"
"441","16hh fun all rounder family horse",8000,12,16,"Horsequest"
"442","Hunter / Allrounder",6500,11,16.1,"Horsequest"
"443","SUPER TALENTED BLACK BEAUTY",38000,11,16.1,"Horsequest"
"444","OUTSTANDING 6 YEAR OLD BY FAIRYTALE X KRACK C.",32000,6,16.1,"Horsequest"
"445","A super prospect for BD / BS or BE",9500,4,16.1,"Horsequest"
"446","Handsome gelding",7000,6,16.1,"Horsequest"
"447","Homebred Warmblood Colt (2019) to make 16:2hh proven breeding",3000,1,16.2,"Horsequest"
"448","Wolke Midnight - aka Jett",15000,8,17.1,"Horsequest"
"449","15.3hh 8YO",10000,8,15.3,"Horsequest"
"450","Exciting Project",2900,7,14,"Horsequest"
"451","In Foal to Bazzar’s Chief due April 2021",5000,9,16,"Horsequest"
"452","Blowell Beeline",15000,8,16.3,"Horsequest"
"453","Loughview Ace of Diamonds",25000,6,17.2,"Horsequest"
"454","16.2hh 5YO",12000,5,16.2,"Horsequest"
"455","3 star event horse",35000,12,16.1,"Horsequest"
"456","Baldassario (Rio) is looking for his next home!",6500,14,16.2,"Horsequest"
"457","JINKABELLE",6000,5,15.3,"Horsequest"
"458","Talented 6 YO",16500,6,16,"Horsequest"
"459","Welsh Section C 3yr old Colt",3250,3,13.1,"Horsequest"
"460","Irish Eventer / Allrounder",9750,6,16.1,"Horsequest"
"461","Cooley sportshorse - Cruising bloodlines",9500,13,16.2,"Horsequest"
"462","EXCITING PROSPECT FOR THE FUTURE",5500,3,16.1,"Horsequest"
"463","PSG / Young Rider / Junior",40000,12,16.3,"Horsequest"
"464","Top Class Amateur/COH/young riders horse",18000,11,16.1,"Horsequest"
"465","Lovely Looking Experienced Hunter",15000,8,17,"Horsequest"
"466","Top Quality, Genuine, Multi-talented Sports Horse",15250,7,16.3,"Horsequest"
"467","An Exceptional Young Mare",6750,3,15.3,"Horsequest"
"468","Just William",7000,12,14.2,"Horsequest"
"469","SPECKLES",5250,9,15.2,"Horsequest"
"470","Quality Mare for Sale",25000,6,16.2,"Horsequest"
"471","Advanced Eventer for Sale",45000,11,16.1,"Horsequest"
"472","STRIKING DRESSAGE / SHOWJUMP",9500,9,16.3,"Horsequest"
"473","Quality Bay Irish Draught Colt",4250,2,17,"Horsequest"
"474","Beautifully marked gelding for sale",4000,4,15.2,"Horsequest"
"475","HOYS M&M LARGE JUNIOR RIDDEN",15000,7,14.4685039370079,"Horsequest"
"476","Amazing all rounder",5500,3,15.1,"Horsequest"
"477","Fab Small Competition Horse",5500,8,15.1,"Horsequest"
"478","16.3 8yo gelding allrounder",5900,8,16.3,"Horsequest"
"479","Lexus W & W",7650,3,16.1,"Horsequest"
"480","INTERNATIONAL GRADE A SHOWJUMPER",20000,10,16,"Horsequest"
"481","INDIE",5000,14,15.3,"Horsequest"
"482","Eventer / show jumper",15000,10,16.2,"Horsequest"
"483","Beautiful NNH/Small Hunter",9000,9,15.2,"Horsequest"
"484","Happy hack",2000,8,15.3,"Horsequest"
"485","Full Irish draft 3yrs",4500,3,14.3,"Horsequest"
"486","EVENT -SHOW - DRESSAGE - SHOW JUMP",12000,5,16.3,"Horsequest"
"487","Perlino Broodmare",700,15,11,"Horsequest"
"488","Serious Competition Horse",18000,12,16.1,"Horsequest"
"489","Happy Hack / Allrounder",4000,14,16.2,"Horsequest"
"490","Winning machine",14000,6,15.3,"Horsequest"
"491","Striking Coloured Mare For Sale",3250,15,15,"Horsequest"
"492","Super Section C",4500,4,13.3,"Horsequest"
"493","Outstanding Pony Club Pony",6000,11,13.2,"Horsequest"
"494","Stunning registered New Forest pony",3750,8,13.2,"Horsequest"
"495","EXCEPTIONAL PONY",7500,5,14.1,"Horsequest"
"496","PENELOPE",1250,5,12.5984251968504,"Horsequest"
"497","Top Track 138 For The Future",12000,6,13.2,"Horsequest"
"498","Stunning Lead Rein Dartmoor Mare",2000,16,11.3,"Horsequest"
"499","Top Class HOYS Quality WHP/ Event pony / Allrounder",6500,4,14.2,"Horsequest"
"500","148cm Novice Riding Pony",4950,4,14.5669291338583,"Horsequest"
"501","Pony club / Hunting Pony",4500,11,14,"Horsequest"
"502","128cm Competition Pony",3500,11,12.2,"Horsequest"
"503","14.1 Connemara Event Pony",5500,13,14.1,"Horsequest"
"504","Fantastic pc allrounder",4750,10,12.2,"Horsequest"
"505","Stunning kind natured Minature Shetland",650,1,9,"Horsequest"
"506","Annandale Royal Regatta",2000,8,11.9094488188976,"Horsequest"
"507","TOPCLASS COMPETITION PONY",5750,4,14,"Horsequest"
"508","Exceptional Dartmoor colts",2000,1,12,"Horsequest"
"509","PERFORMANCE BRED CONNEMARA PONY",6000,4,14,"Horsequest"
"510","A Yard Favourite",3750,15,12.2,"Horsequest"
"511","BEECH COMBER - CONSISTENT, TOP LEVEL JA",50000,15,14.4685039370079,"Horsequest"
"512","Class 1 2011 well bred connemara mare",6500,9,14,"Horsequest"
"513","BRILLIANT 138CM BS STARTER PONY",2000,20,13.5826771653543,"Horsequest"
"514","Striking Filly with the X Factor",5000,2,13.2,"Horsequest"
"515","Super smart pony",3000,4,14.2,"Horsequest"
"516","Beautiful Dressage schoolmaster",20000,14,14.2,"Horsequest"
"517","LLANAI RENAISSANCE",3000,4,12.5984251968504,"Horsequest"
"518","Bargain Price",29999,12,14.2,"Horsequest"
"519","Stunning Connemara Pony",7950,7,14.2,"Horsequest"
"520","SUPER SMART WHP / PC / BYRDS DRESSAGE PONY",4500,9,13,"Horsequest"
"521","Prospective FEI Event Pony",6000,7,14,"Horsequest"
"522","Hunt, WHP, Event Connemara",7500,5,14.2,"Horsequest"
"523","Bannview Little Chief",5500,8,13.3,"Horsequest"
"524","Super allrounder",3500,6,13.1,"Horsequest"
"525","JUMPING MACHINE - FORWARD FUN",7500,16,13.4350393700787,"Horsequest"
"526","Top Class British Riding Pony",2000,7,12.5984251968504,"Horsequest"
"527","Connemara X 7yo Grey mare",8500,7,14.5669291338583,"Horsequest"
"528","Connemara Sports Pony",5000,4,14.3,"Horsequest"
"529","Tynwydd Debut - Ridden Section C",3250,5,13.1,"Horsequest"
"530","Stunning 147cm German Riding pony 8yo FEI potential",10000,8,14.2,"Horsequest"
"531","Top show prospect and 100% genuine traditional gypsy cob",4500,5,14.1,"Horsequest"
"532","Smart, athletic, 14.2 Connemara",6950,6,14.2,"Horsequest"
"533","Gortglass Rebel",11000,9,14.2,"Horsequest"
"534","Smart 14.2hh",3950,5,14.2,"Horsequest"
"535","GRASSROOTS EVENT PONY PROSPECT",7000,10,14.2,"Horsequest"
"536","Gorgeous Lucky Lisa!",4950,4,14.1,"Horsequest"
"537","lovely all round pony",5500,8,12.2,"Horsequest"
"538","14 hands show hunter pony",2500,5,14,"Horsequest"
"539","Talented 145cm (14.1hh) 8-year-old Full Connemara Mare",7500,8,14.2716535433071,"Horsequest"
"540","Experienced Competition Pony",6500,11,14.1,"Horsequest"
"541","Beautiful Connie mare",5250,6,13.8779527559055,"Horsequest"
"542","Flashy Competition and Pony Club Pony",4000,13,13.2,"Horsequest"
"543","JC Talented & Scopey Mare",12000,8,14.5669291338583,"Horsequest"
"544","Novice Mini M&M HOYs Pony",4250,5,12,"Horsequest"
"545","FOR SALE - BINA",2500,15,12.2,"Horsequest"
"546","AMAZING U18'S EVENTING PONY",14900,15,14.2,"Horsequest"
"547","Fantastic, Quality All-Rounder",12500,11,14.2,"Horsequest"
"548","Top Class Novice Show Pony",4000,4,14.1,"Horsequest"
"549","Stunning boy ready to be started",4000,4,14.2,"Horsequest"
"550","Fantastic Allrounder",12500,10,14.2,"Horsequest"
"551","Safe and sensible",4850,13,13.2,"Horsequest"
"552","Kind all round pony",5500,6,14,"Horsequest"
"553","Super smart, Connemara gelding",5500,13,14.1,"Horsequest"
"554","Super Allrounder",7250,8,13.5826771653543,"Horsequest"
"555","Lovely allrounder / potential WHP",5000,9,13,"Horsequest"
"556","HOYS potential",2500,7,13.1,"Horsequest"
"557","Pennway Snowdrop",2800,6,12.3,"Horsequest"
"558","Thunder",6500,10,14.2,"Horsequest"
"559","Bradway dark knight",10000,6,14.2,"Horsequest"
"560","Fantastic Competition Pony",8000,15,14.2,"Horsequest"
"561","Ronswood Silver Fox",1650,4,11.3,"Horsequest"
"562","Brown Charlie",3750,8,14.2,"Horsequest"
"563","PONY CLUB ALLROUNDER",3750,11,12.2,"Horsequest"
"564","Sandstone Izzy - Hickstead qualifier 2020",30000,9,13.2,"Horsequest"
"565","Fantastic PC family allrounder",7750,11,13,"Horsequest"
"566","Jackets Domingo - Easy, Fun , Talented Pony",4000,6,13.1,"Horsequest"
"567","Chunky Cob Mare",3250,11,13.2,"Horsequest"
"568","JC, 138cm, Jumping Machine",6995,15,13.5826771653543,"Horsequest"
"569","Bramble",6500,5,14.2,"Horsequest"
"570","Absolutely Fabulous Connemara",6000,14,14.1,"Horsequest"
"571","Top class hunting pony",2500,6,14.2,"Horsequest"
"572","Caher Silver (Tommy)",15000,13,13.5826771653543,"Horsequest"
"573","Fun little pony and will make someone seriously happy!",4500,10,13.2,"Horsequest"
"574","Quality LR / FR Show Pony",3000,13,12.007874015748,"Horsequest"
"575","Super schoolmaster",10000,14,13.2,"Horsequest"
"576","Outstanding Showjumping Pony",8000,10,13.1,"Horsequest"
"577","Stunning 14.1hh Dressage Pony",4000,12,14.1,"Horsequest"
"578","TOP BE / COMPETITION ALLROUNDER",9000,13,14.2,"Horsequest"
"579","Sweet mare with SJ / WHP / NSEA potential",4250,11,13,"Horsequest"
"580","FLASHY 5 YEAR OLD READY FOR SOME FUN!",5500,5,14.2,"Horsequest"
"581","Superstar dressage pony",23000,7,14.1,"Horsequest"
"582","Tylo Pillow Talk",2500,4,13.2,"Horsequest"
"583","Top Class Jumping Pony",5750,13,12.2,"Horsequest"
"584","Sold pending vetting 14hh forward, safe fun drama free pony",4000,12,14,"Horsequest"
"585","SURI",6500,5,14.2,"Horsequest"
"586","RAFFY",5500,11,14.2,"Horsequest"
"587","Proven PC Team Pony",7500,14,14.2,"Horsequest"
"588","Howetown Miss Scarlett",1000,4,13.5826771653543,"Horsequest"
"589","Prismatic Spice Beautiful Connie type x 14hh",2500,9,14,"Horsequest"
"590","Beaurepaire Fifi",8000,4,14,"Horsequest"
"591","Super fun jumping, PC, hunting, small but mighty pony",2700,9,11.2,"Horsequest"
"592","Fun Time Frankie",5000,5,14,"Horsequest"
"593","Top Track 148 - placed Leading Pony Show Jumper & Foxhunter at HOYs, Liverpool 148cm",55000,12,14.5669291338583,"Horsequest"
"594","THE LONGHOUSE CHRISTIAN",5000,2,14.2,"Horsequest"
"595","Superb allrounder, bee!",6500,11,13.2,"Horsequest"
"596","Fernville Frankie",6500,8,14.2,"Horsequest"
"597","Underhill Country Dance",4250,6,11.2,"Horsequest"
"598","138cm competition pony",5995,10,13.2,"Horsequest"
"599","Serious top class potential 14.2hh event pony",5750,5,14.2,"Horsequest"
"600","Reg Welsh Section B 13.1hh",4500,9,13.1,"Horsequest"
"601","Beautiful Blonde Bombshell",12000,5,14,"Horsequest"
"602","Menai Miss Bonita",5000,8,14,"Horsequest"
"603","Friendly loveable lead rein bestie!!",1500,7,12,"Horsequest"
"604","Potential PC pony - mother daughter share",4000,4,13,"Horsequest"
"605","HOYS level Sec A Gelding",5500,5,12.007874015748,"Horsequest"
"606","Super Smart Girl",6500,9,14.2,"Horsequest"
"607","Super Smart Dressage Pony",11000,8,14.2,"Horsequest"
"608","For sale 12.2 hand welsh x gelding",2500,9,12.2,"Horsequest"
"609","Serious Badminton Grassroots Prospect",8500,5,14.1,"Horsequest"
"610","SUPER JC 148 COMPETITON PONY- SMOKEY ROCKIE",8500,10,14.498031496063,"Horsequest"
"611","Rendene Secret Charm",5995,7,13.5826771653543,"Horsequest"
"612","Schoolmistress Dressage Pony",9500,14,14.2,"Horsequest"
"613","Top class little event pony / working hunter",10000,17,14,"Horsequest"
"614","Top Class Fell Gelding",3000,2,13,"Horsequest"
"615","Connemara summer project",4000,9,14.2,"Horsequest"
"616","Fabulous Black Dun 13.2 Welsh C",3500,5,13.2,"Horsequest"
"617","Fun Allrounder",3450,10,14,"Horsequest"
"618","Excellent BE80 / 90 and PC pony",7500,15,14.2,"Horsequest"
"619","Caretino x guidam de revel pony",4000,6,14.5669291338583,"Horsequest"
"620","DAVE",2950,7,14,"Horsequest"
"621","Wycroft Distinctly Royale",2000,2,13.5826771653543,"Horsequest"
"622","Proven FEI Pony",25000,16,14,"Horsequest"
"623","Lovely 13hh pony",2750,8,13,"Horsequest"
"624","138 Potential Top Competition Pony",4750,8,13.2,"Horsequest"
"625","The Perfect Gentleman",12000,7,13.2,"Horsequest"
"626","Super Sunny-Reg Connemara",3500,5,14.1,"Horsequest"
"627","Superstar Event Pony",13500,10,14.2,"Horsequest"
"628","Competition pony",5500,14,14.5669291338583,"Horsequest"
"629","12.2hh Novice / Potential First Ridden",2500,4,12.2,"Horsequest"
"630","Top young Dressage pony prospect",4500,3,14.5669291338583,"Horsequest"
"631","Pony Club School Mistress. Absoulte gem allrounder.",6750,14,13.2,"Horsequest"
"632","Hisley Carnival",5000,13,11.2,"Horsequest"
"633","Howefield Vegas",7000,5,13.1,"Horsequest"
"634","Landsbury Marley Mambo",6000,11,13.1,"Horsequest"
"635","Ultimate Schoolmaster",6500,18,14.2,"Horsequest"
"636","Stunning Section B",1200,6,12.2,"Horsequest"
"637","Dark Silk (Silky)",30000,10,14.5669291338583,"Horsequest"
"638","BAMBI - SUPER SMART ALL ROUND 14.2HH",6950,7,14.2,"Horsequest"
"639","AMAZING 14.2 ALLROUNDER",12000,13,14.2,"Horsequest"
"640","14 h Reg. Welsh Section D Gelding",2800,14,14,"Horsequest"
"641","PRINCESS – ABSOLUTE SERIOUS 138 TOP TRACK",5950,6,13.2,"Horsequest"
"642","Talented 8 Year Old JC",16000,8,14.4685039370079,"Horsequest"
"643","Top class Registered Connemara Pony",6500,4,14.1,"Horsequest"
"644","Goldvalley Inferno",850,2,13,"Horsequest"
"645","Amazing Alrounder and Team Pony",12000,13,14.3700787401575,"Horsequest"
"646","Hunter / Hacking / Endurance",4500,11,14.2,"Horsequest"
"647","Warmington Skieron",800,3,13.1,"Horsequest"
"648","SEYWOODS DANCING QUEEN",4000,5,14.2,"Horsequest"
"649","Paintball Quizical",3000,6,14,"Horsequest"
"650","HOYS potential M+M WH or LR",4000,7,11.3,"Horsequest"
"651","Perfect 1st BS Pony",5500,16,12.5984251968504,"Horsequest"
"652","Perfect pony club pony",3500,6,12.1,"Horsequest"
"653","Top Quality Section D Mare",5000,7,14.2,"Horsequest"
"654","Easy to do in all ways",3250,5,13.2,"Horsequest"
"655","14.1hh Pony Club Pony",3500,14,14.1,"Horsequest"
"656","BSJA Prospect",6000,9,12.1,"Horsequest"
"657","Lockinge Wilson",6000,6,14.1,"Horsequest"
"658","Top Class 143cm SHP",6500,8,14.0748031496063,"Horsequest"
"659","Pony club allrounder",3950,12,13.2,"Horsequest"
"660","stunning connemara mare",4250,12,14.1,"Horsequest"
"661","British Riding pony 10 years old (138cm LHC) Gelding (PBA)",5500,10,13.2,"Horsequest"
"662","Top Class M&M Lead Rein / First Ridden",3250,3,11.2,"Horsequest"
"663","Wishworthy Jack Norey",8000,9,12.5984251968504,"Horsequest"
"664","EX Racehorse",750,7,16.2,"Horse and Hound"
"665","Smart Hunting Pony",3500,13,14.2,"Horse and Hound"
"666","Young Fun Event Horse- “Swift”",6500,4,15.2,"Horse and Hound"
"667","KWPN Grey mare",7500,8,16.3,"Horse and Hound"
"668","Skewbald Yearing Filly by Sempers Spirit",4000,1,16.1,"Horse and Hound"
"669","Marvin - purebred Irish Draught gelding!",7950,4,16.2,"Horse and Hound"
"670","Tango - the most beautiful Irish Draught gelding!",7950,4,16.2,"Horse and Hound"
"671","PJ - stunning purebred Connemara gelding!",5950,4,14.3,"Horse and Hound"
"672","Gorgeous Lucky Lisa!",4950,4,14.1,"Horse and Hound"
"673","Benny - a real sweetheart!",4950,4,13.1,"Horse and Hound"
"674","Top Class Sec C",3250,5,13.2,"Horse and Hound"
"675","PERFORMANCE IRISH DRAUGHT MARE",15000,10,16.1,"Horse and Hound"
"676","14.1 welsh D",3250,17,14.1,"Horse and Hound"
"677","Apache - lovely allrounder mare!",5500,4,16,"Horse and Hound"
"678","Freddy - experienced safe family hunting horse!",9500,9,16,"Horse and Hound"
"679","Exceptional Irish Cob",6000,6,16.1,"Horse and Hound"
"680","Bart - a hunting horse for the whole family",9500,7,16.1,"Horse and Hound"
"681","Jenny - potential Show Cob",4950,5,15,"Horse and Hound"
"682","Gorgeous Jasper!",5950,4,14.1,"Horse and Hound"
"683","Latin Graff",9500,5,16.2,"Horse and Hound"
"684","Footloose (Numero Uno) x Ardoss (TB)",7500,5,16,"Horse and Hound"
"685","Hazel",2400,17,13.3,"Horse and Hound"
"686","Pattens Lockdown Lilly. Filly born 29.05.20",3250,6,16.2,"Horse and Hound"
"687","Pattens Lockdown Leo",3250,6,16.2,"Horse and Hound"
"688","Stunning 2 year old filly",7000,2,16.2,"Horse and Hound"
"689","Marley",5200,12,16.1,"Horse and Hound"
"690","16hh Super Hunter",7500,8,16,"Horse and Hound"
"691","Bold Hunter",7500,11,17.1,"Horse and Hound"
"692","4 year old Potential BYEH 15.2hh Gelding",12500,4,15.2,"Horse and Hound"
"693","Top event/sj",15000,4,16.2,"Horse and Hound"
"694","Serious BE/BD/Hunter",12000,8,17.3,"Horse and Hound"
"695","128 Jumping Pony",6000,9,12.2,"Horse and Hound"
"696","Oreo - perfect hack!",4950,5,15,"Horse and Hound"
"697","Desie - lovely and easy cob!",4950,5,15.1,"Horse and Hound"
"698","Cherry - lovely Cob!",4500,8,15.1,"Horse and Hound"
"699","Nemo - supercob!",4950,5,15,"Horse and Hound"
"700","Ivy - Superstar, has all it takes to win!",12500,12,16.1,"Horse and Hound"
"701","Major - traditional Irish Draught!",7950,4,16.1,"Horse and Hound"
"702","Kenny - quality Allrounder!",5500,4,14.2,"Horse and Hound"
"703","Sam - stunning 5 year old Connemara!",5950,5,14.2,"Horse and Hound"
"704","Stunning 2yr old.",3750,2,16.2,"Horse and Hound"
"705","Lisa - beautiful purebred Connemara mare!",4950,4,14.1,"Horse and Hound"
"706","Show Cob",2000,8,13.2,"Horse and Hound"
"707","Stunning Mare showing potential to excel",7500,6,16.1,"Horse and Hound"
"708","Patsy - lovely mare!",3950,5,14.2,"Horse and Hound"
"709","Midnight - stunning top quality mare!",5500,5,15.2,"Horse and Hound"
"710","16.1 Dark Bay Mare",1500,13,16.1,"Horse and Hound"
"711","YOUNG PROSPECT",5500,4,16.1,"Horse and Hound"
"712","Masshill Echo",5500,10,14.2,"Horse and Hound"
"713","Pete - homebred superstar!",6950,5,15.1,"Horse and Hound"
"714","TOP CLASS MW",10000,8,17.1,"Horse and Hound"
"715","Beautiful Reg 14.2hh TBxWelshCob 4yo mare",2750,4,14.2,"Horse and Hound"
"716","Potential Showjumper/WHP",2500,4,14.2,"Horse and Hound"
"717","Beautiful 14.3hh Reg Welsh Part-bred mare",1800,11,14.3,"Horse and Hound"
"718","Arab mare",2500,13,15.1,"Horse and Hound"
"719","Stunning thoroughbred for sale",1250,10,16.1,"Horse and Hound"
"720","6yo KPWNxTrakenher",5000,6,16,"Horse and Hound"
"721","Top young horse",32000,4,16.1,"Horse and Hound"
"722","Young Sport horse",6500,3,16.1,"Horse and Hound"
"723","Dark bay mare",7500,5,15.2,"Horse and Hound"
"724","12.1 section b mare",2000,9,12.1,"Horse and Hound"
"725","Polite hacker.",1500,17,16.1,"Horse and Hound"
"726","STUNNING ALL-ROUNDER",5500,8,16.2,"Horse and Hound"
"727","Homebred 15.1 hh 8yr superstar!",7000,8,15.1,"Horse and Hound"
"728","3 yr old mare",6500,3,15.3,"Horse and Hound"
"729","Bay yearling colt",2000,11,14,"Horse and Hound"
"730","Potential Supercob!",4500,4,15.1,"Horse and Hound"
"731","Class 1 Connemara",6500,8,14.2,"Horse and Hound"
"732","Oreo",3000,5,12.1,"Horse and Hound"
"733","Gypsy Vanner Coblet",3500,5,13.2,"Horse and Hound"
"734","Show jumper",12500,11,16.1,"Horse and Hound"
"735","TALENTED SHOWJUMPER",12800,8,16.3,"Horse and Hound"
"736","Jumping/Eventing prospect",6500,6,15.2,"Horse and Hound"
"737","3 yr old Connemara",3500,3,14.1,"Horse and Hound"
"738","Fun and talented",5500,9,17.1,"Horse and Hound"
"739","Gorgeous dun",5000,7,16.3,"Horse and Hound"
"740","Irish Tbx 16.1hh+",2000,2,16.1,"Horse and Hound"
"741","Beautiful filly",4500,2,16,"Horse and Hound"
"742","Beautiful filly",4500,2,16.2,"Horse and Hound"
"743","Striking young man",5500,1,16.2,"Horse and Hound"
"744","Beautiful Connemara",4000,5,15.1,"Horse and Hound"
"745","Cevin Z filly",4000,2,16,"Horse and Hound"
"746","41” black gelding",800,3,10.1,"Horse and Hound"
"747","Top Class Small ISRT/PBA Show/Dressage gelding",5850,12,15.1,"Horse and Hound"
"748","HUNTING / COMPETITION HORSE",4950,12,15.3,"Horse and Hound"
"749","Lead Rein Show Pony",2200,5,12,"Horse and Hound"
"750","Hunter/Pony Club",5000,12,14,"Horse and Hound"
"751","Buckskin filly",5500,2,15,"Horse and Hound"
"752","Allrounder",5000,3,16.1,"Horse and Hound"
"753","Smart young horse",8795,4,16.2,"Horse and Hound"
"754","Irish Sport Horse",5000,10,16,"Horse and Hound"
"755","Beautiful 2yo coloured filly",4700,2,16.1,"Horse and Hound"
"756","Stunning Colt Foal",2200,1,16.1,"Horse and Hound"
"757","Coloured Filly Foal",2800,1,16,"Horse and Hound"
"758","Bold all rounder",5500,5,14.2,"Horse and Hound"
"759","Super Quality Mare",7000,10,15.3,"Horse and Hound"
"760","Super scopey!",16750,7,16.1,"Horse and Hound"
"761","12hh reg. Dartmoor",3000,13,12,"Horse and Hound"
"762","Beauliful dun mare",10000,4,16.1,"Horse and Hound"
"763","*5 Star home saught*",3500,6,14.2,"Horse and Hound"
"764","Dun 2yo Connie xISH Potential Eventer",6950,2,15.2,"Horse and Hound"
"765","16.2hh 7yr Cremello gelding",5250,7,16.2,"Horse and Hound"
"766","Attractive filly",2500,2,16,"Horse and Hound"
"767","Youngster",900,1,13,"Horse and Hound"
"768","KWPN Buckskin Mare",8000,6,15.3,"Horse and Hound"
"769","Irish Draught Colt",3000,4,16.2,"Horse and Hound"
"770","*Reg irish draught*",3650,2,17,"Horse and Hound"
"771","Exciting Competition Prospect",8000,5,15.3,"Horse and Hound"
"772","Quality pony.",2000,3,13.3,"Horse and Hound"
"773","Young Event Horse",6500,4,15.2,"Horse and Hound"
"774","Stunning PC pony",2750,10,12.3,"Horse and Hound"
"775","STRIKING WELSH B",4250,7,13.2,"Horse and Hound"
"776","Small Dressage/Sports Horse",5000,2,15.1,"Horse and Hound"
"777","16.2hh TB gelding",3500,4,16.2,"Horse and Hound"
"778","Welsh C Mare",2650,15,12.2,"Horse and Hound"
"779","Genuine Connemara",6500,4,14.2,"Horse and Hound"
"780","Striking 6yo",7000,6,16.3,"Horse and Hound"
"781","Experienced eventer",8000,14,16,"Horse and Hound"
"782","3YO Arab x ISH",6000,3,15.2,"Horse and Hound"
"783","3 yo ID mare",5000,3,15.2,"Horse and Hound"
"784","Quality ISH",10000,5,16.1,"Horse and Hound"
"785","Talented loving mare",3000,18,15.1,"Horse and Hound"
"786","Miniature Shetland",500,14,9,"Horse and Hound"
"787","Home bred 3 year old",1950,3,15.3,"Horse and Hound"
"788","Shetland",200,1,9,"Horse and Hound"
"789","Eventer/ WH/ SJ",6500,5,16.1,"Horse and Hound"
"790","Stunning Shetland Stallion",300,15,9,"Horse and Hound"
"791","Grassroots Eventer",8500,9,16.2,"Horse and Hound"
"792","Superb Furst Jazz x Walentino/Benvenuto filly",6750,1,16.2,"Horse and Hound"
"793","***Looking for a new best friend***",2500,11,13.2,"Horse and Hound"
"794","Prospective FEI event pony",6000,7,14,"Horse and Hound"
"795","138 Competition Pony",4750,8,13.2,"Horse and Hound"
"796","16.2hh warmblood gelding",2500,15,16.2,"Horse and Hound"
"797","17.2/3, 7yr, gelding- BRAVE, BOLD- reduced",12500,7,17.2,"Horse and Hound"
"798","4yo Dun Gelding 17.1",8500,4,17.1,"Horse and Hound"
"799","Stunning Appaloosa x",6500,5,16.3,"Horse and Hound"
"800","Small Para/Ladies Dressage",12000,4,15,"Horse and Hound"
"801","Sport Colt Foal",5000,3,16.2,"Horse and Hound"
"802","Beautiful Connemara Mare",6000,6,14,"Horse and Hound"
"803","Stunning Connemara Gelding",7000,5,14.2,"Horse and Hound"
"804","Connemara 14.2",3000,10,14.2,"Horse and Hound"
"805","Super Lead Rein Pony",2000,11,12,"Horse and Hound"
"806","Dressage mare",18000,10,16.2,"Horse and Hound"
"807","Reg Welsh part bred",1350,2,15,"Horse and Hound"
"808","14.2h Haflinger mare",6000,5,14.2,"Horse and Hound"
"809","Hunter/ allrounder",7500,10,17.3,"Horse and Hound"
"810","Dressage Prospect",5750,8,15.1,"Horse and Hound"
"811","14.2 Connemara",7250,7,14.2,"Horse and Hound"
"812","Quality Gelding",6500,10,15.1,"Horse and Hound"
"813","Lovely Grassroots Prospect",5500,5,15.2,"Horse and Hound"
"814","Diamond Mystique",1200,14,16,"Horse and Hound"
"815","canturano yearling",6500,1,16.2,"Horse and Hound"
"816","yearling filly",6500,1,16.2,"Horse and Hound"
"817","6yr old",7000,6,16,"Horse and Hound"
"818","Top amateur eventer",12000,11,16.1,"Horse and Hound"
"819","Very Capable 8yo 17hh Gelding - eventing, PC",9750,8,17,"Horse and Hound"
"820","Talented, young 138",5950,6,13.2,"Horse and Hound"
"821","Low mileage ISH Type",6250,11,17,"Horse and Hound"
"822","Stunning 13.1hh pony",3500,15,13.1,"Horse and Hound"
"823","Potential Eventer",7200,4,15.2,"Horse and Hound"
"824","Mare with potenial",1500,18,15.2,"Horse and Hound"
"825","Cob",3000,10,14.1,"Horse and Hound"
