"advert_name","advert_details","advert_price"
"HOYS M&M LARGE JUNIOR RIDDEN","Welsh Section DBayMare7 years147 cm (AHC)","£15,000 ono"
"Pony club allrounder","AppaloosaGelding12 years13.2 hands","£3,950"
"stunning connemara mare","ConnemaraFleabitten greyMare12 years14.1 hands","£4,250 ono"
"Eye-catching and much-loved 13.1hh second competition pony","Welsh Part BredDunMare15 years13.1 hands","SOLD! Have fun!"
"TOP CLASS FIRST RIDDEN / LEAD REIN","Riding PonyChestnutFilly3 years12 hands","POA"
"British Riding pony 10 years old (138cm LHC) Gelding (PBA)","Riding PonyDark brownGelding10 years13.2 hands (LHC)","£5,500 offers"
"Top class 148 Show pony","Riding PonyBayMare6 years148 cm (AHC)","POA"
"Top Class M&M Lead Rein / First Ridden","Welsh Section AGreyMare3 years11.2 hands","£3,250"
"Wishworthy Jack Norey","Welsh Section BGelding9 years128 cm","£8,000"
"Potential Competition Pony","ConnemaraDunMare4 years14.2 hands","SOLD!"
"Perlino Broodmare","Welsh Section ACremelloMare15 years11 hands","£700"
