"advert_name","advert_price","advert_height","advert_age"
"Registered Purebred Arabian 100% Crabbet","£2,250","14.2 hh","5 years"
"Reg Conn gelding","SOLD","14.2 hh","4 years"
"14.2 Reg Con geld","£6,000","14.2 hh","4 years 2 months"
"Summer project","£2,850","15.2 hh","5 years"
"Comp/PC Reg Connie","£8,500","14 hh","14 years"
"Cob filly foal to make 14.2/15hh","£750","14.2 hh","3 months"
"Quality Irish Bred 5yro","SOLD","16.1 hh","5 years"
"Forever home wanted","£5,500","17.1 hh","9 years"
"Superb Lusitano","£15,000","16.3 hh","8 years"
"16hh 5 year old Irish x mare","£5,500","16 hh","5 years"
"Dressage/Sport Pony","","14.2 hh","4 years"
"ISH gelding 14yrs, 16hh","SOLD","16 hh","13 years 9 months"
"Stunning 128","","12.2 hh","10 years"
"Stunning 16.2hh","£4,000","16.2 hh","13 years"
"2YO Colt","£3,500","16.2 hh","2 years"
"RARE FIND Striking Irish Cob","£7,000","16.2 hh","14 years"
"Berry - beautiful coloured mare!","£4,500","15.1 hh","11 years"
"PROJECT MARE - SMART QUALITY WELSH SECTION D","£1,495","15 hh","13 years"
"FEI Potential Event Pony","£25,000","14.2 hh","8 years"
"Kind and honest","Price on Application","16.2 hh","10 years"
"Quality young horse!","Price on Application","16.2 hh","5 years"
"Dressage Prospect","£15,000","16.2 hh","4 years"
"2 Y/O Filly for sale","£500","13.2 hh","2 years"
"Class1 & full of fun","SOLD","14 hh","10 years"
"Top Class M&M WHP","£6,000","14 hh","12 years"
"Super Smart Hunter","£3,000","16 hh","12 years"
"Estella","£4,500","16.2 hh","1 year"
"Misty Merlin","SOLD","17.2 hh","5 years 11 months"
"Stunning young warmblood","£4,500","16 hh","8 years"
